,name,count,url
0,Albania,7,https://10times.com/venues/albania
1,Algeria,8,https://10times.com/venues/algeria
2,Argentina,29,https://10times.com/venues/argentina
3,Armenia,4,https://10times.com/venues/armenia
4,Aruba,3,https://10times.com/venues/aruba
5,Australia,602,https://10times.com/venues/australia
6,Austria,127,https://10times.com/venues/austria
7,Azerbaijan,11,https://10times.com/venues/azerbaijan
8,Bahamas,7,https://10times.com/venues/bahamas
9,Bahrain,12,https://10times.com/venues/bahrain
10,Bangladesh,25,https://10times.com/venues/bangladesh
11,Barbados,4,https://10times.com/venues/barbados
12,Belarus,5,https://10times.com/venues/belarus
13,Belgium,123,https://10times.com/venues/belgium
14,Bosnia & Herzegovina,9,https://10times.com/venues/bosnia-herzegovina
15,Botswana,7,https://10times.com/venues/botswana
16,Brazil,121,https://10times.com/venues/brazil
17,Bulgaria,24,https://10times.com/venues/bulgaria
18,Cambodia,9,https://10times.com/venues/cambodia
19,Cameroon,3,https://10times.com/venues/cameroon
20,Canada,764,https://10times.com/venues/canada
21,Cayman Islands,3,https://10times.com/venues/cayman-islands
22,Chile,30,https://10times.com/venues/chile
23,China,441,https://10times.com/venues/china
24,Colombia,26,https://10times.com/venues/colombia
25,Congo (DR),4,https://10times.com/venues/congo-republic
26,Costa Rica,10,https://10times.com/venues/costa-rica
27,Croatia,40,https://10times.com/venues/croatia
28,Cuba,5,https://10times.com/venues/cuba
29,Cyprus,23,https://10times.com/venues/cyprus
30,Czech Republic,87,https://10times.com/venues/czech-republic
31,Denmark,70,https://10times.com/venues/denmark
32,Dominican Republic,4,https://10times.com/venues/dominican-republic
33,Ecuador,8,https://10times.com/venues/ecuador
34,Egypt,44,https://10times.com/venues/egypt
35,Estonia,19,https://10times.com/venues/estonia
36,Ethiopia,8,https://10times.com/venues/ethiopia
37,Fiji Islands,4,https://10times.com/venues/fiji-islands
38,Finland,55,https://10times.com/venues/finland
39,France,367,https://10times.com/venues/france
40,Georgia,12,https://10times.com/venues/georgia
41,Germany,845,https://10times.com/venues/germany
42,Ghana,20,https://10times.com/venues/ghana
43,Greece,97,https://10times.com/venues/greece
44,Hong Kong,78,https://10times.com/venues/hongkong
45,Hungary,51,https://10times.com/venues/hungary
46,Iceland,8,https://10times.com/venues/iceland
47,India,1115,https://10times.com/venues/india
48,Indonesia,143,https://10times.com/venues/indonesia
49,Iran,32,https://10times.com/venues/iran
50,Iraq,4,https://10times.com/venues/iraq
51,Ireland,84,https://10times.com/venues/ireland
52,Israel,31,https://10times.com/venues/israel
53,Italy,278,https://10times.com/venues/italy
54,Ivory Coast,3,https://10times.com/venues/cote-d-ivoire
55,Jamaica,6,https://10times.com/venues/jamaica
56,Japan,195,https://10times.com/venues/japan
57,Jordan,19,https://10times.com/venues/jordan
58,Kazakhstan,21,https://10times.com/venues/kazakhstan
59,Kenya,38,https://10times.com/venues/kenya
60,Kuwait,13,https://10times.com/venues/kuwait
61,Latvia,13,https://10times.com/venues/latvia
62,Lebanon,14,https://10times.com/venues/lebanon
63,Lithuania,17,https://10times.com/venues/lithuania
64,Luxembourg,10,https://10times.com/venues/luxembourg
65,Macau (China),12,https://10times.com/venues/chinamacausar
66,Macedonia,7,https://10times.com/venues/macedonia
67,Madagascar,4,https://10times.com/venues/madagascar
68,Malaysia,252,https://10times.com/venues/malaysia
69,Malta,13,https://10times.com/venues/malta
70,Mauritius,9,https://10times.com/venues/mauritius
71,Mexico,76,https://10times.com/venues/mexico
72,Monaco,3,https://10times.com/venues/monaco
73,Mongolia,4,https://10times.com/venues/mongolia
74,Morocco,21,https://10times.com/venues/morocco
75,Mozambique,6,https://10times.com/venues/mozambique
76,Myanmar,17,https://10times.com/venues/myanmar
77,Namibia,7,https://10times.com/venues/namibia
78,Nepal,16,https://10times.com/venues/nepal
79,Netherlands,191,https://10times.com/venues/netherlands
80,New Zealand,137,https://10times.com/venues/new-zealand
81,Nigeria,36,https://10times.com/venues/nigeria
82,Norway,71,https://10times.com/venues/norway
83,Oman,12,https://10times.com/venues/oman
84,Pakistan,40,https://10times.com/venues/pakistan
85,Panama,12,https://10times.com/venues/panama
86,Peru,15,https://10times.com/venues/peru
87,Philippines,65,https://10times.com/venues/philippines
88,Poland,122,https://10times.com/venues/poland
89,Portugal,89,https://10times.com/venues/portugal
90,Puerto Rico,9,https://10times.com/venues/puerto-rico
91,Qatar,32,https://10times.com/venues/qatar
92,Romania,52,https://10times.com/venues/romania
93,Russia,164,https://10times.com/venues/russia
94,Rwanda,3,https://10times.com/venues/rwanda
95,Saudi Arabia,35,https://10times.com/venues/saudiarabia
96,Senegal,4,https://10times.com/venues/senegal
97,Serbia,20,https://10times.com/venues/serbia
98,Singapore,104,https://10times.com/venues/singapore
99,Slovakia,23,https://10times.com/venues/slovakia
100,Slovenia,15,https://10times.com/venues/slovenia
101,South Africa,146,https://10times.com/venues/southafrica
102,South Korea,89,https://10times.com/venues/korea
103,Spain,221,https://10times.com/venues/spain
104,Sri Lanka,20,https://10times.com/venues/sri-lanka
105,Sweden,100,https://10times.com/venues/sweden
106,Switzerland,123,https://10times.com/venues/switzerland
107,Taiwan,59,https://10times.com/venues/taiwan
108,Tanzania,14,https://10times.com/venues/tanzania
109,Thailand,169,https://10times.com/venues/thailand
110,Trinidad & Tobago,3,https://10times.com/venues/trinidad-tobago
111,Tunisia,17,https://10times.com/venues/tunisia
112,Turkey,185,https://10times.com/venues/turkey
113,UAE,178,https://10times.com/venues/unitedarabemirates
114,UK,1866,https://10times.com/venues/unitedkingdom
115,USA,7226,https://10times.com/venues/usa
116,Uganda,12,https://10times.com/venues/uganda
117,Ukraine,37,https://10times.com/venues/ukraine
118,Uzbekistan,4,https://10times.com/venues/uzbekistan
119,Venezuela,3,https://10times.com/venues/venezuela
120,Vietnam,65,https://10times.com/venues/vietnam
121,Zambia,7,https://10times.com/venues/zambia
122,Zimbabwe,5,https://10times.com/venues/zimbabwe
